country,plot_name,date,value
Portugal  April 5. 2020,Residential,2020-03-19,29.749
Portugal  April 5. 2020,Residential,2020-03-20,35.838
Portugal  April 5. 2020,Residential,2020-03-21,25.655
Portugal  April 5. 2020,Residential,2020-03-22,21.566
Portugal  April 5. 2020,Residential,2020-03-23,32.393
Portugal  April 5. 2020,Residential,2020-03-24,32.727
Portugal  April 5. 2020,Residential,2020-03-25,32.378
Portugal  April 5. 2020,Residential,2020-03-26,33.379
Portugal  April 5. 2020,Residential,2020-03-27,36.235
Portugal  April 5. 2020,Residential,2020-03-28,25.078
Portugal  April 5. 2020,Residential,2020-03-29,21.795
Portugal  April 5. 2020,Residential,2020-03-30,33.339
Portugal  April 5. 2020,Residential,2020-03-31,32.906
Portugal  April 5. 2020,Residential,2020-04-01,32.929
Portugal  April 5. 2020,Residential,2020-04-02,32.716
Portugal  April 5. 2020,Residential,2020-04-03,35.517
Portugal  April 5. 2020,Residential,2020-04-04,25.199
Portugal  April 5. 2020,Residential,2020-04-05,23.166
